,Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Average,Cont.
25,Norway,153451.0,108319.0,81616.0,70512.0,190115.0,72987.0,90307.0,82211.0,168063.0,164303.0,275278.0,331113.0,275075.0,263065.0,246341.0,318054.0,299964.0,285650.0,403672.0,17635.0,37380.0,53005.5858706542,62093.6122791474,220654.079496232,302311.513355859,390035.442169611,246709.567083874,83593.4320120822,886828.873838199,966902.900486582,611469.217762238,177024.917440539,314030.837912828,406146.398883271,254585.8052526799,Europe
26,Finland,174301.0,231304.0,176184.0,149358.0,136132.0,141571.0,253335.0,217380.0,378837.0,513889.0,359140.0,261321.0,362671.0,498097.0,708190.0,1253429.0,1274320.0,1363504.0,1868844.0,1488723.0,1249949.0,1480224.34000757,1165336.38849219,931455.064878811,790129.784168235,1034789.4103818,960439.164174152,720017.399884641,897872.81145619,762131.010692936,847395.413599493,851477.390282081,608370.367568783,229741.739496549,715878.2142671598,Europe
27,Denmark,247924.0,342096.0,272972.0,345127.0,262856.0,267813.0,316548.0,346406.0,472198.0,433784.0,368513.0,448148.0,586085.0,519972.0,501554.0,505672.0,820216.0,2121148.0,1144429.0,336667.0,168323.0,329149.898371501,261951.189313855,204822.944650384,190364.432373965,175607.389366517,201008.526846196,199623.671434608,218151.679447911,203927.543818488,269513.890010089,881073.501242647,388488.355956364,307260.203006106,431158.6537011362,Europe
28,United Kingdom,7083218.0,8442648.0,8813379.0,11295110.0,17627546.0,19323781.0,22379063.0,18766596.0,15938081.0,15418194.0,14283163.0,17714498.0,18330789.0,18599504.0,15919170.0,14417882.0,9331650.0,5162637.0,4006209.0,3007160.0,2517646.0,2707434.34838386,2713608.78449711,2949632.33622143,3135519.88061949,3951374.73399173,3239434.88409454,3729166.73382227,3480212.43809048,3613931.69471279,3918446.70152264,3681537.42880025,3904374.16079733,4190561.50800589,9223328.224516466,Europe
29,Ireland,2175076.0,2013569.0,1496737.0,1283169.0,1311528.0,804900.0,1546303.0,891946.0,929494.0,880041.0,948865.0,962120.0,1092827.0,997231.0,719463.0,415979.0,481224.0,517214.0,391231.0,284001.0,165120.0,136013.930961791,213183.875700167,290194.976762057,210651.589109871,169292.082757631,154531.210101307,155281.419032598,176897.413614221,128631.090824032,100271.422711492,209038.774957702,251934.449132734,83346.5076504732,664332.5512740022,Europe
30,Netherlands,1950071.0,1798040.0,1625839.0,1726639.0,1703392.0,1938519.0,1936866.0,1986119.0,2757403.0,2673432.0,2092609.0,2724136.0,2791886.0,3272964.0,3486887.0,2850020.0,3295045.0,3519170.0,3121492.0,3023358.0,2293880.0,2663935.78482851,2502783.86205312,2205219.16816576,2394874.69772176,2548141.83951815,2537909.72342044,2830942.43344896,2886969.27634017,3155941.96529243,2884167.73212267,2710778.03441676,3109427.61045701,2311045.2552763,2567938.364207707,Europe
31,Belgium,5157549.0,4411711.0,4069326.0,5824696.0,6690476.0,8488679.0,6182801.0,4411887.0,4434945.0,5148761.0,7569700.0,9241468.0,8947221.0,11611872.0,8975401.0,8179472.0,6746318.0,6217490.0,5624776.0,3745761.0,2545306.0,4061061.79986171,3317669.17117145,3158483.3067062,3070181.42190511,3326358.59839494,3915049.37505232,4310847.92503547,4268537.68899034,3755932.2771565,3806074.03964848,3114321.17772293,3790288.02503741,2974073.29820884,5326308.650143873,Europe
32,Luxembourg,22686.0,425.0,2795.0,1745.0,4407.0,110.0,382.0,596.0,1190.0,373.0,7337.0,7101.0,12141.0,7023.0,10232.0,7853.0,10235.0,11407.0,13476.0,12418.0,6378.0,8747.6085208512,17149.4355291966,22897.1760933006,18801.5353840188,17053.6680722898,11405.9776637898,31013.2781379666,24728.1651501444,23534.6405604408,27991.6443891378,17330.486142627,4839.5379331782,37778.4636600294,11870.047565793266,Europe
33,Monaco,31497.0,774.0,367.0,55403.0,1531.0,1068.0,305.0,1426.0,39170.0,2041.0,306.0,6350.0,98.0,9187.0,181.0,13.0,12788.0,212.0,86.0,4037.0,849.0,191.376621954,2673.0089353296,623.2514895684,102.6183197718,1551.2441303394,786.3807307608,489.075549102,1933.4786266908,14.2885961064,1426.8174692814,207.7532155566,1388.932803909,3919.6499238036,5382.261070946288,Europe
34,France,11030783.0,10935290.0,8523985.0,9006293.0,6592864.0,7381081.0,6802013.0,6441083.0,7705802.0,7568731.0,7242423.0,8914083.0,8968277.0,7997112.0,6734311.0,6361142.0,4997741.0,5314417.0,4811446.0,4363127.0,2666814.0,2890717.53335059,2715797.6901878,3048150.10074058,2864616.17661808,2643177.72215618,2629588.94582511,2307598.6174721,2359223.72118395,2658538.97555345,2835455.9941636,2479317.55264926,3351125.25139504,2712091.4838294,5466300.5225036815,Europe
35,"Germany, Fed. Republic",8061692.0,6422929.0,6584855.0,8401105.0,17939355.0,9990123.0,6730830.0,6646894.0,8487049.0,9135979.0,10177366.0,12606810.0,11192720.0,11809007.0,12678974.0,11832958.0,13079822.0,10729549.0,11968770.0,10942351.0,7528573.0,9861302.08410657,11464375.194878,11044577.2282812,12697103.7909985,13240296.7227982,12859891.2527287,12259463.7812504,14185524.2888805,13755544.7878784,15737993.6382848,12844600.4202492,14716803.5372566,12647275.3976664,11184190.091919338,Europe
36,Austria,671980.0,556580.0,400758.0,639545.0,897752.0,842250.0,963139.0,943159.0,1554704.0,922983.0,858893.0,936184.0,700111.0,548495.0,491622.0,598368.0,423123.0,438584.0,445450.0,637233.0,350738.0,554790.133525635,519849.780076507,343067.274934448,503478.491676287,732275.484727639,856804.933199918,927412.398925214,633993.720942693,724441.855829202,860125.467835809,413829.549763862,567849.557406902,478428.736330843,674647.0113286753,Europe
37,Hungary,5788272.0,4650569.0,2766734.0,3306404.0,2734822.0,3797451.0,3741022.0,4095048.0,3998021.0,4680566.0,2147461.0,2054174.0,1788673.0,1371429.0,2464529.0,3927413.0,4386543.0,5017983.0,5200316.0,3134659.0,665025.0,699113.391509131,836338.321335523,692626.237701817,375130.632167991,486351.505812917,367643.208069484,387415.065312673,288666.020017183,524649.062934738,482035.810538243,466909.208508632,713202.489607054,532424.366574005,2310871.156473217,Europe
38,Switzerland,3132487.0,1526127.0,3294027.0,1714347.0,4349632.0,3283120.0,1896716.0,2485424.0,2033623.0,2186865.0,3175200.0,2981333.0,1968153.0,2392582.0,3095959.0,4207403.0,2722675.0,3377312.0,2176776.0,1869785.0,1031320.0,1203946.93271288,1332066.44474967,880563.335177181,780593.719926397,1028136.00139976,1036869.53693653,960859.167363721,1673887.34806363,1705551.90707164,2407277.16452955,1516443.34070644,1703635.55681465,3396645.54988683,2191980.6472158493,Europe
39,Poland,4912616.0,6552661.0,4317927.0,4749117.0,3419740.0,3190308.0,2366648.0,1400892.0,1210468.0,1175792.0,1262151.0,1273228.0,1020520.0,1603475.0,2447236.0,1902220.0,1061775.0,1196873.0,934591.0,894733.0,1246603.0,1037529.81262751,851341.888702406,1341493.42429495,2066904.57415347,1033984.67352734,1518307.77784735,1465233.43829099,1641277.66494474,1494350.18805192,1713072.99574808,1263329.40535552,1444740.83582046,1048781.33513536,1942938.8827794143,Europe
40,Spain,6924109.0,6270384.0,5728806.0,10167582.0,15636565.0,14515186.0,26009584.0,19656599.0,15058782.0,17471393.0,14635604.0,15583371.0,11117064.0,10429387.0,8920359.0,9706250.0,8533171.0,7729619.0,6652636.0,4251366.0,2715137.0,2680355.0601335,3165492.1622636,3710570.26986292,3667801.72323136,4162283.0694114,4239726.31408433,4113629.25271432,4003684.52145568,4603533.9133025,4024688.57086251,3648122.88123005,4977590.2424293,3688537.30647547,8482322.626101675,Europe
41,Portugal,30829143.0,29646987.0,22730655.0,26753436.0,29086713.0,33346853.0,35380681.0,35761325.0,41655245.0,45987753.0,51566625.0,57091005.0,55450968.0,57233337.0,54867563.0,47507610.0,40186332.0,36426951.0,30610289.0,24535033.0,17338456.0,19492493.9201968,16624034.4917439,15773472.7548332,18051129.8254092,18338943.3187806,19764896.6236373,20716515.4022736,23980779.2455681,24881821.5320645,26028773.2796338,21960287.7002447,31876069.7369785,25593380.4058635,31972810.53638905,Europe
42,Malta and Gozo,133930.0,372612.0,952513.0,857241.0,604702.0,34345.0,58819.0,40726.0,47962.0,73304.0,43630.0,49494.0,340792.0,1320616.0,3284315.0,2087408.0,536649.0,640719.0,319318.0,192646.0,214777.0,166060.463833933,126511.832228796,119201.20889389,52794.8572972464,37395.1314823842,15694.9765092792,24333.8843808697,36872.9793781224,56797.1668773936,82815.3284508774,131153.970953641,66183.5176642962,122350.945070038,389549.5371476697,Europe
43,Italy,14864328.0,13474553.0,12553969.0,16905158.0,23710275.0,27264437.0,27394455.0,31413936.0,34897978.0,36147927.0,39831453.0,48710619.0,43663913.0,46626071.0,44281125.0,42535447.0,38887992.0,36689019.0,39601784.0,30533481.0,20587911.0,24983386.9058502,19999205.1866801,18572522.8935762,19574148.3738484,20657899.2423688,19982685.4110357,18487175.8305912,17866369.1011365,18350283.9677625,20324644.8186613,17637668.6507855,24866392.4653763,23715241.8262719,27517454.57864543,Europe
44,Greece,9085352.0,11567763.0,5379110.0,4581318.0,2630356.0,2371926.0,2530880.0,1357843.0,1281505.0,1089388.0,1038542.0,1138281.0,1116186.0,824163.0,857987.0,735904.0,546220.0,848790.0,1117835.0,931786.0,961390.0,794337.994860997,524825.885524097,303057.985137327,272548.726799152,188407.978058639,245636.265161536,566150.561276959,601362.740497058,497804.670324146,902229.169256377,295581.881993252,287251.092535453,257144.672429455,1697907.7830545425,Europe
45,Romania,5202566.0,2937438.0,1023685.0,1385118.0,2249348.0,4630837.0,3952303.0,3071092.0,4386071.0,6339388.0,6063751.0,7162230.0,7457842.0,6521251.0,4590580.0,3222338.0,2539817.0,2695012.0,1815020.0,1489885.0,789701.0,879885.66325493,1077303.32647929,1573032.76935971,1600496.51877465,1507331.52664703,1407064.1862341,1479458.79077998,1520018.34879422,1325303.76764652,1223783.88469248,811549.04516585,992672.867479003,828233.615643361,2816217.862086798,Europe
46,Bulgaria,47238.0,8279.0,383714.0,1826674.0,4517455.0,4035313.0,3568295.0,2580373.0,4314405.0,5045503.0,5281816.0,7294168.0,11878294.0,16096041.0,25229016.0,23305298.0,8896863.0,5248529.0,3140962.0,2259955.0,968362.0,801994.412054291,669162.918867698,623835.254293789,574341.501196436,637494.994541034,780174.750254584,1446504.26852998,1092060.96534049,1098678.31359652,884956.662247266,795114.231905473,1183665.83846702,1167495.37371448,4343589.190735561,Europe
47,Turkey,62623031.0,48101159.0,44840087.0,67087479.0,83512889.0,125680834.0,111075476.0,105116286.0,127517354.0,157795639.0,195952788.0,226583200.0,229376453.0,277340581.0,260021590.0,217485614.0,197272708.0,154842731.0,129292754.0,86904991.0,61121950.0,69778031.3991883,55340355.0626111,67293935.3404795,72227642.2815088,78281563.1160755,82408032.7818842,96218612.8707796,112889492.277804,113136928.592575,124364779.094944,145837663.320699,197259509.680983,164134928.992725,127903443.20036048,Europe
48,Cyprus,638759.0,940165.0,349980.0,69040.0,180840.0,87860.0,71518.0,763617.0,856631.0,189758.0,78834.0,102624.0,165017.0,41322.0,109632.0,70093.0,144350.0,100143.0,87724.0,72786.0,59271.0,55942.2574559226,22781.1305232378,17098.0574748732,2953.9769861196,4587.7266697248,4506.93080082,2452.08784792435,7069.77374917212,4485.9134779074,2927.7437480172,192.622233384,164.820847653,61.459349805,156034.95591660473,Europe
49,Syria,90664.0,865334.0,921236.0,373451.0,687320.0,841141.0,1826492.0,1459883.0,683578.0,1473752.0,3311642.0,5689449.0,7916314.0,6734965.0,7184392.0,4862124.0,2854236.0,2528517.0,2279742.0,957202.0,748154.0,639576.096641004,725351.653283683,589969.519587718,62275.3732217862,13528.7806298148,6153.962009202,8341.1390557782,2053.9997998758,2194.592072211,8091.1516761054,7052.0176469106,17291.1102709338,3202.2130140756,1658078.517909091,Asia
50,Lebanon,397084.0,909051.0,916724.0,1912119.0,636085.0,239997.0,246180.0,41900.0,371421.0,1223253.0,758684.0,670485.0,470890.0,347740.0,1526384.0,2264765.0,1208807.0,1185880.0,1016745.0,159787.0,6919.0,4816.2562430094,11976.6859563078,16242.4932806682,57136.1372102304,112397.782660002,35099.0996813226,212561.614917507,45231.7077377668,62068.1017161366,22301.89001334,23266.7443748754,7577.6094525096,17548.740413694,504091.9077546285,Asia
51,Israel,13089651.0,15601803.0,14896617.0,20297528.0,25639543.0,29964271.0,31891533.0,27332186.0,24988792.0,31303138.0,36883221.0,42143688.0,45478019.0,46181331.0,51753386.0,44543981.0,34705190.0,29478384.0,25039523.0,24721357.0,19573950.0,17266135.9855314,13416073.4791634,10334466.4560336,8855287.19393662,8902975.56885044,6785700.23216537,6716167.90930946,6479485.57979619,6336276.57894253,6075785.97419081,8141750.83086233,8073354.90425267,5876644.83625392,22022564.633214373,Asia
52,Jordan,544235.0,1481544.0,195363.0,2226946.0,2172266.0,3510720.0,3295342.0,2786645.0,600540.0,560924.0,425593.0,3715861.0,22096716.0,48721300.0,68878474.0,110995494.0,125014134.0,135344465.0,118388383.0,89297266.0,67083454.0,60881799.6515296,47887584.3822523,50875536.9448417,53600927.5251671,51699719.4762887,50880651.5578711,47605417.6857498,51557743.6144991,57342451.9875347,71436096.6280241,62895364.4949562,56422533.6103739,66736643.5608615,45210533.41529264,Asia
53,Kuwait,192200.0,190517.0,1798.0,395830.0,7297038.0,3483056.0,812485.0,873166.0,642632.0,1057848.0,2461058.0,3779028.0,3967711.0,7465527.0,9446057.0,8551627.0,4065886.0,827705.0,3194.0,1892.0,3102.0,3404.7031355316,5986.7573037804,9828.924685083,835.8905884014,2367.7410999312,2806.785839214,338.3865489312,5092.8690630384,901.0684741338,897.3464108112,907.3348917066,270.563337261,1499.3453442996,1633955.7269624155,Asia
54,Saudi Arabia,281061.0,1715.0,6197.0,66754.0,469556.0,748040.0,1635638.0,1860837.0,2419716.0,5070697.0,8429982.0,12208286.0,11555449.0,6144597.0,1125230.0,2086311.0,819083.0,908917.0,1151054.0,1116029.0,864602.0,1275877.85694105,661343.888094296,1804544.93518307,1240555.36203062,271633.762592552,47531.3740808634,100014.247302006,87709.4823536906,55281.032234253,25352.8064334216,936767.766060882,832278.843702293,88029.695555109,1952843.29566365,Asia
55,Qatar,598075.0,1911476.0,2830075.0,7298423.0,6793522.0,8686649.0,8665711.0,12193524.0,13682049.0,15742174.0,16133517.0,18284584.0,18472430.0,16050634.0,14435519.0,11135668.0,6164265.0,2875394.0,666723.0,407.0,2778.0,519.0218115768,26763.5652155928,424.6119608976,317.1375202464,23067.6991957566,179.472765465,205.957425661393,988.826980239,7653.2220346302,13552.4554040862,1828.076971644,79.1247654288,180.5327477226,5373510.491317616,Asia
56,United Arab Emirates,9205360.0,12849048.0,13030998.0,33817176.0,45797343.0,32905421.0,32148098.0,31789868.0,30143432.0,28783038.0,35244280.0,41050057.0,41527648.0,41109713.0,42486389.0,44452096.0,45883522.0,36464868.0,22990935.0,16565014.0,10082160.0,9853727.30803426,7561946.58962668,5893507.24278552,7813384.38349942,6668500.62273381,7835406.34913002,4708769.26633916,1236923.35410762,1596287.39294329,2432125.52523021,2764561.35867947,5082082.19371806,5735863.7142345,21103222.03826653,Asia
