ID,User_id,Sold,Gender,Category,subcategory,size,State,Brand,Colors,Price,Image,Description,Title,Platform,Address,discountedPriceAmount,dateUpdated
316155653,6955273,P,male,bottoms,jeans,,Used - Excellent,marithe-francois-girbaud,"Navy,Black",85.0,,"baggy 90s jeans designed by Marithé Francois Girbaud with the navy Velcro  straps an all the fixings 

Model is 6”0

By all jeans necessary you’re not gonna get baggier than this. Bagaholic. Bag to the future. No bag no brag. I don’t use this term loosely. 

Size 36M (m for mens I think)

#marithefrancoisgirbaud #y2kjeans #skaterjeans #y2k #90s",vxmatt1000 marithe francois girbaud designer baggy,Depop,"Toledo, United States",,2023-01-06T20:34:26.48568Z
323962695,6955273,M,male,outerwear,sweatshirts,,Used - Good,,Blue,75.0,,"Nike crewneck sweatshirt Y2K light blue color

Rare piece in great condition very comfy and soft

Tag missing but size is ~XL  •please see measurements•

Shoulders 22” pit to pit 26” sleeves 26” top to bottom 29”
#nike #y2knike #vintagenike #nikesweatshirt #lightblue",vxmatt1000 y2k light blue nike crewneck,Depop,"Perrysburg, United States",,2023-01-06T20:34:23.452771Z
324723116,6955273,P,male,shirts,tshirts,,Used - Good,fubu,Grey,10.0,,"90s FUBU t-shirt FUBU C. XC11 (1992)

Material is soft this shirt is pretty comfy 

Size large. Pit to pit 25” top to bottom 27.5” 

#hiphop #skating #fubu #vintagefubu #90s",vxmatt1000 90s fubu t shirt fubu c,Depop,"Perrysburg, United States",,2023-01-06T20:34:14.41471Z
323963977,6955273,P,male,shirts,tshirts,,Like new,polo-ralph-lauren,Grey,10.0,,"POLO jean co Ralph Lauren t shirt 

Size xl super soft and comfy

Pit to pit 26” top to bottom 30”
#polo #ralphlauren #vintagepolo",vxmatt1000 polo jean co ralph lauren,Depop,"Perrysburg, United States",,2023-01-06T20:33:47.138323Z
323523726,6955273,P,male,shirts,tshirts,,Used - Good,nascar,Black,13.0,,"Jeff Gordon nascar tee 

Fire print Size xxl

#jeffgordon #nascar #dupont",vxmatt1000 jeff gordon nascar tee fire,Depop,"Perrysburg, United States",,2023-01-06T20:33:41.153482Z
322057541,6955273,P,male,outerwear,jackets,,Used - Good,columbia-sportswear,"Grey,Cream",25.0,,"vintage Columbia sportswear’s hiking windbreaker 

Very detailed design with no flaws except small hole on back (last pic)
Elastic waist and hood, top portion overlaps bottom 

#columbia #sportswear #hiking #80s #vintageski",vxmatt1000 awesome vintage columbia sportswears hiking,Depop,"Perrysburg, United States",,2023-01-06T20:31:39.969545Z
283698731,6955273,P,male,accessories,hat,,Like new,nba,Blue,10.0,,"Authentic NBA New Jersey Nets hat
#NBA #Hat #baseballhat #Nets #newjerseynets",mattdragontrainer authentic nba new jersey nets,Depop,"Dayton, United States",,2023-01-06T20:30:32.151809Z
322299338,6955273,P,male,outerwear,jackets,,Used - Good,,"Blue,Navy",25.0,,"Vintage Flannel/blanket lined jean denim jacket 

Super warm for winter and stylish warmer than carhartt jacket. size large

Sleeve 22” shoulders 22” waist 23” top to bot 31”

#jeanjacket #winterwear #vintagejacket #vintage #blanketlined",vxmatt1000 vintage flannelblanket lined jean denim,Depop,"Perrysburg, United States",,2023-01-06T20:24:42.886496Z
324722514,6955273,P,male,shirts,tshirts,,Used - Excellent,,"Cream,Blue",45.0,,"Detroit lions t-shirt Y2K nfl

Fire print on both sides with tie dye design on the fruit of the loom PFD tee

90s / y2k style print with the motorcycle engine and lion 

Size xxl. Pit to pit 25” top to bottom 30”

#vintagenfl #detroit #lions #detroitlions",vxmatt1000 y2k detroit lions t shirt fire,Depop,"Perrysburg, United States",,2023-01-06T18:17:32.303272Z
329209029,6955273,P,male,outerwear,jackets,,Used - Good,carhartt,Black,269.5,,"Carhartt Detroit Jacket Black Blanket Lined (J01 BLK)

Size XL (44) fits a size large perfectly

Distressed edges and sleeves as pictured 

#detroit #carhartt #travis #kanye #workwear",vxmatt1000 carhartt detroit jacket black blanket,Depop,"Perrysburg, United States",269.5,2022-12-27T23:34:04.354203Z
323124971,6955273,P,male,shirts,tshirts,,Used - Good,,Tan,22.5,,"Vintage WAKE AND BAKE Pillsbury doughboy shirt🍃🍁
Size XL on the gildan tag 
For all you smokers out there looking for a big shirt to wake up in 
#high #stoner #wakeandbake #oversized #vintagetee

Waist 24.5 top to bottom 28 shoulders 22",vxmatt1000 vintage wake and bake pillsbury,Depop,"Perrysburg, United States",22.5,2022-12-27T04:30:21.668246Z
325396120,6955273,P,male,outerwear,jackets,,Like new,carhartt,Black,315.0,,"Carhartt Coca-Cola Detroit jacket flannel-lined (J97 Black) size XL

This is a VERY rare Detroit j97 jacket worn by Coca-Cola truck drivers. This jacket is in mint condition. 

Pit to pit: 27” 
Sleeves: 25” 
Top of shoulders to bottom: 27” 

#cocacola #coke #carhartt #rare #detroit",vxmatt1000 carhartt coca cola detroit jacket flannel lined,Depop,"Perrysburg, United States",315.0,2022-12-26T14:53:26.569911Z
330621276,6955273,P,male,outerwear,jackets,,Used - Excellent,carhartt,Brown,297.0,,"Carhartt Detroit Jacket Brown Flannel lined 

Dark brown color way (J97 DKB)

Great condition no flaws, initials on inside and tag (first pic)

Size Men’s Large (Women’s XL/XXL)

Sleeves 24”
Pit to pit 26”
Shoulders to bottom 25”

#workwear #utility #christmas #winter #travis",vxmatt1000 carhartt detroit jacket brown flannel,Depop,"Perrysburg, United States",297.0,2022-12-22T03:03:19.269577Z
329285461,6955273,P,male,outerwear,jackets,,Like new,carhartt,Brown,270.0,,"Vintage Detroit Jacket Flannel Lined Chestnut brown Color (J97 CHT)

Rare color-way in mint condition, no flaws whatsoever. 

Size XXL mens, fits an XL great and oversized fit for Large if sleeves rolled up

Pit to pit: 29”
Shoulders to bottom 28.5”
Sleeves: 25.5”
Sleeves rolled up: 23”

#Detroit #detroitjacket #vintage #travis #vintagecarhartt",vxmatt1000 vintage detroit jacket flannel lined,Depop,"Perrysburg, United States",270.0,2022-12-21T19:11:11.729008Z
